,zipcode,percent,city,lon,lat
0,43040,17.24137931034483,Marysville,-83.3622,40.2477
2,43215,14.367816091954023,Columbus,-83.0044,39.9671
3,43219,7.471264367816093,Columbus,-82.9103,40.0326
4,43206,6.896551724137931,Columbus,-82.9748,39.9426
5,43209,6.321839080459771,Columbus,-82.9301,39.9539
6,43210,5.747126436781609,Columbus,-83.0164,40.0028
7,43081,2.2988505747126435,Westerville,-82.9105,40.1146
8,43082,2.2988505747126435,Westerville,-82.882,40.1524
9,43221,2.2988505747126435,Columbus,-83.0776,40.0226
10,43202,2.2988505747126435,Columbus,-83.0118,40.0201
11,43235,1.1494252873563218,Columbus,-82.9742,40.1088
12,43137,1.1494252873563218,Lockbourne,-82.9764,39.8142
13,48824,1.1494252873563218,East Lansing,-84.4882,42.7283
14,63103,1.1494252873563218,St. Louis,-90.2164,38.6332
15,43022,1.1494252873563218,Gambier,-82.3828,40.3782
16,N6K4M6,1.1494252873563218,London,-82.3828,40.3782
18,20036,1.1494252873563218,Washington,-77.0414,38.9087
19,43065,1.1494252873563218,Columbus,-83.0912,40.1834
20,13244,1.1494252873563218,Syracuse,-76.1396,43.0377
21,84043,1.1494252873563218,Lehi,-111.8506,40.3958
22,30324,0.5747126436781609,Atlanta,-84.3549,33.8206
23,43045,0.5747126436781609,Milford Center,-83.4373,40.1817
24,43205,0.5747126436781609,Columbus,-82.9644,39.9569
25,L8P 2Z6,0.5747126436781609,Hamilton,-82.9644,39.9569
26,48105,0.5747126436781609,Ann Arbor,-83.7068,42.3042
27,19107,0.5747126436781609,Philadelphia,-75.1593,39.9487
28,43830,0.5747126436781609,Nashport,-82.0998,40.0386
29,43220,0.5747126436781609,Columbus,-83.0669,40.0495
30,44104,0.5747126436781609,San Francisco,-81.6245,41.4809
31,22203,0.5747126436781609,Arlington,-77.1142,38.8738
32,43537,0.5747126436781609,Maumee,-83.6628,41.5817
33,95134,0.5747126436781609,San Jose,-121.9406,37.4087
34,43212,0.5747126436781609,Grandview,-83.0456,39.9874
35,44113,0.5747126436781609,Cleveland,-81.7018,41.4816
36,94588,0.5747126436781609,Pleasanton,-121.8957,37.6873
37,432156,0.5747126436781609,Columbus,-121.8957,37.6873
38,45221,0.5747126436781609,Cincinnati,-84.5382,39.1668
39,43119,0.5747126436781609,Columbus ,-83.1838,39.9366
40,43340,0.5747126436781609,Marysville,-83.4942,40.5232
41,76039,0.5747126436781609,Euless,-97.0832,32.8582
42,43061,0.5747126436781609,Ostrander,-83.1978,40.274
43,43021,0.5747126436781609,Galena,-82.8749,40.2011
44,900400,0.5747126436781609,Enugu,-82.8749,40.2011
45,45219,0.5747126436781609,Cincinnati,-84.5131,39.127
46,43026,0.5747126436781609,Columbus,-83.1383,40.0322
47,13159,0.5747126436781609,Tully,-76.1394,42.807
48,92129,0.5747126436781609,San Diego,-117.1213,32.9652
49,43201,0.5747126436781609,Columbus,-83.0047,39.9952
50,60607,0.5747126436781609,Chicago,-87.6578,41.8721
51,43230,0.5747126436781609,Columbus,-82.8726,40.0347
52,45241,0.5747126436781609,Evendale,-84.4092,39.2638
53,50309,0.5747126436781609,Des Moines,-93.6212,41.5887
54,80909,0.5747126436781609,Colorado Springs,-104.7735,38.852
55,43068,0.5747126436781609,Columbus,-82.8035,39.9551
56,19341,0.5747126436781609,Exton,-75.6432,40.0468
